date,close,high,low,open,volume
2015-01-02,109.33,111.44,107.35,111.39,53204626
2015-01-05,106.25,108.65,105.41,108.29,64285491
2015-01-06,106.26,107.43,104.63,106.54,65797116
2015-01-07,107.75,108.2,106.695,107.2,40105934
2015-01-08,111.89,112.15,108.7,109.23,59364547
2015-01-09,112.01,113.25,110.21,112.67,53315099
2015-01-12,109.25,112.63,108.8,112.6,49650790
2015-01-13,110.22,112.8,108.91,111.43,67091928
2015-01-14,109.8,110.49,108.5,109.04,48956588
2015-01-15,106.82,110.06,106.66,110,60013996
2015-01-16,105.99,107.58,105.2,107.03,78513345
2015-01-20,108.72,108.9667,106.5,107.84,49899907
2015-01-21,109.55,111.06,108.27,108.95,48575897
2015-01-22,112.4,112.47,109.72,110.26,53796409
2015-01-23,112.98,113.75,111.53,112.3,46464828
2015-01-26,113.1,114.3626,112.8,113.74,55614979
2015-01-27,109.14,112.48,109.03,112.42,95568749
2015-01-28,115.31,118.12,115.31,117.625,146477063
2015-01-29,118.9,119.19,115.56,116.32,84436432
2015-01-30,117.16,120,116.85,118.4,83745461
2015-02-02,118.63,119.17,116.08,118.05,62739100
2015-02-03,118.65,119.09,117.61,118.5,51915749
2015-02-04,119.56,120.51,118.309,118.5,70149743
2015-02-05,119.94,120.23,119.25,120.02,42246245
2015-02-06,118.93,120.25,118.45,120.02,43706567
2015-02-09,119.72,119.84,118.43,118.55,38889797
2015-02-10,122.02,122.15,120.16,120.17,62008506
2015-02-11,124.88,124.92,122.5,122.77,73561797
2015-02-12,126.46,127.48,125.57,126.06,74474466
2015-02-13,127.08,127.28,125.65,127.28,54272219
2015-02-17,127.83,128.88,126.92,127.49,63152405
2015-02-18,128.715,128.78,127.45,127.625,44891737
2015-02-19,128.45,129.03,128.33,128.48,37362381
2015-02-20,129.495,129.5,128.05,128.62,48948419
2015-02-23,133,133,129.66,130.02,70974110
2015-02-24,132.17,133.6,131.17,132.94,69228130
2015-02-25,128.79,131.6,128.15,131.56,74711746
2015-02-26,130.415,130.87,126.61,128.785,91287529
2015-02-27,128.46,130.57,128.24,130,62014847
2015-03-02,129.09,130.28,128.3,129.25,48096663
2015-03-03,129.36,129.52,128.09,128.96,37816283
2015-03-04,128.54,129.56,128.32,129.1,31666340
2015-03-05,126.41,128.75,125.76,128.58,56517146
2015-03-06,126.6,129.37,126.26,128.4,72842060
2015-03-09,127.14,129.57,125.06,127.96,88528487
2015-03-10,124.51,127.22,123.8,126.41,68856582
2015-03-11,122.24,124.77,122.11,124.75,68938974
2015-03-12,124.45,124.9,121.63,122.31,48362719
2015-03-13,123.59,125.3951,122.58,124.4,51827283
2015-03-16,124.95,124.95,122.87,123.88,35874300
2015-03-17,127.04,127.32,125.65,125.9,51023104
2015-03-18,128.47,129.16,126.37,127,65270945
2015-03-19,127.495,129.2451,127.4,128.75,45809490
2015-03-20,125.9,128.4,125.16,128.25,68695136
2015-03-23,127.21,127.85,126.52,127.12,37709674
2015-03-24,126.69,128.04,126.56,127.23,32842304
2015-03-25,123.38,126.82,123.38,126.54,51655177
2015-03-26,124.24,124.88,122.6,122.76,47572869
2015-03-27,123.25,124.7,122.91,124.57,39546151
2015-03-30,126.37,126.4,124,124.05,47099670
